Block level,Datetime,Operation,Received,From address,Sent,Fee,To address,Explorer link
1476101,2021-05-18 00:10:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/oo4ELuQGZKKfKPBgs21CAi35D7izMjEEEf7PPKPkfcBR9zfdPga/10518049
1476150,2021-05-18 00:59:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/ooLrkN6mbisA3pxEF9yamDnX7B9U2VjgRhHALKrVaQWSBePGeYo/10518050
1476152,2021-05-18 01:01:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/ooxsNXAfzQLrt6R21vnDC4XrUnKfBKP9aEGQXxJsBbKH9QjiAF4/10518051
1476161,2021-05-18 01:10:10,transaction,,,"-0,1","-0,000442",tz1h1LzP7U8bNNhow8Mt1TNMxb91AjG3p6KH,https://tzkt.io/ooxFzHkbQ24X2V7wCe5cRF1DoRoQTAtAh1KHmLTGU5P9KMkZJRy/10518052
1505935,2021-06-08 01:38:02,transaction,,,0,"-0,020014",KT1V6cNW5jTUxEwmMhxvNHkMF3Bkm5a9Cfrt,https://tzkt.io/oogB25Y5VgJCi2RtD5Ceduzf6rb5HGWaqmUkxRp8uKriDcHFM1J/10518053
1515722,2021-06-14 23:51:02,transaction,,,0,"-0,019827",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,https://tzkt.io/onsMxAUoiqYyD6F1N814WADf3YARZsv5JZ1W4cXor6GjG2nUACy/10518054
1544190,2021-07-05 15:49:42,transaction,100,tz1VPz5qhzTrRTNevHC33ArBTBPV6jHpwjQB,,,,https://tzkt.io/oosAV6xriNpEEgttdqXryo6Suyjx4H8FX7nCRweDjr9bkVB9Snv/3301209
1544676,2021-07-06 00:31:42,origination,,,0,"-1,131724",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/ooA2G6uF8YP87NYEXT2HYD4FPNwn3TDBjyFsRcvYeJAukxn9Rnb/10518055
1544678,2021-07-06 00:34:22,transaction,,,0,"-0,019758",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/onwdjkKZ5EQRHt8GUfHdSQvN8rbbokDhaow3rigyGjVyGXamKfi/10518056
1544680,2021-07-06 00:36:22,transaction,,,0,"-0,019507",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/onfKwAFabLNBcCUNjeN4SW3MoTqy5MXmnRMaRS7Jc4dqj75KeaK/10518057
1544865,2021-07-06 03:52:02,transaction,,,0,"-0,020009",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/oopzVUcvDVQYvmKjXF9KnFbpijCCxnNzNbJ7GriytMLhWQNK6hh/10518058
1544867,2021-07-06 03:54:42,transaction,,,0,"-0,020009",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/oo78zSoMVPF56qHFnusXr5Lz3WCwcSw7BFXDK3avqavfALWSScF/10518059
1545466,2021-07-06 14:09:10,transaction,,,0,"-0,01675",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/ooa3t69faaCWr4dgWZmU5kWfoz5G9zUKAdzHtxHfNDtugc5H4QU/10518060
1545466,2021-07-06 14:09:10,transaction,,,-10,"-0,047",KT1PvEyN1xCFCgorN92QCfYjw3axS6jawCiJ,https://tzkt.io/ooa3t69faaCWr4dgWZmU5kWfoz5G9zUKAdzHtxHfNDtugc5H4QU/10518061
1545466,2021-07-06 14:09:10,origination,,,,"-7,6805",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/ooa3t69faaCWr4dgWZmU5kWfoz5G9zUKAdzHtxHfNDtugc5H4QU/10518061/3
1545466,2021-07-06 14:09:10,transaction,,,,"-0,01725",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/ooa3t69faaCWr4dgWZmU5kWfoz5G9zUKAdzHtxHfNDtugc5H4QU/10518061/4
1545466,2021-07-06 14:09:10,transaction,,,0,"-0,016602",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/ooa3t69faaCWr4dgWZmU5kWfoz5G9zUKAdzHtxHfNDtugc5H4QU/10518062
1546221,2021-07-07 02:48:18,transaction,,,"-2,233526","-0,006495",KT1RRgK6eXvCWCiEGWhRZCSVGzhDzwXEEjS4,https://tzkt.io/op5cCMZYQTv5KbSL3rkRp71gWqydFFYg4YjtheiFfAQtrQhCXh8/10518063
1546223,2021-07-07 02:50:18,transaction,,,0,"-0,01675",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/op6javXKXcrapihAorkQ4qRU2fis8Qkf7BkCZfb5of1nnJrfj3a/10518065
1546223,2021-07-07 02:50:18,transaction,,,0,"-0,05425",KT1KnuE87q1EKjPozJ5sRAjQA24FPsP57CE3,https://tzkt.io/op6javXKXcrapihAorkQ4qRU2fis8Qkf7BkCZfb5of1nnJrfj3a/10518066
1546223,2021-07-07 02:50:18,transaction,,,,"-0,01675",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/op6javXKXcrapihAorkQ4qRU2fis8Qkf7BkCZfb5of1nnJrfj3a/10518066/5
1546223,2021-07-07 02:50:18,transaction,,,,"-0,017",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/op6javXKXcrapihAorkQ4qRU2fis8Qkf7BkCZfb5of1nnJrfj3a/10518066/3
1546223,2021-07-07 02:50:18,transaction,,,0,"-0,025181",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/op6javXKXcrapihAorkQ4qRU2fis8Qkf7BkCZfb5of1nnJrfj3a/10518067
1546228,2021-07-07 02:55:18,delegation,,,,"-0,000397",tz1ei4WtWEMEJekSv8qDnu9PExG6Q8HgRGr3,https://tzkt.io/oo5M8984mikNV9D6niDD9xLxi3EVqTSA2C4fA8DxGN2UwX7Uema/10518068
1546238,2021-07-07 03:05:18,transaction,,,0,"-0,04375",KT1KnuE87q1EKjPozJ5sRAjQA24FPsP57CE3,https://tzkt.io/op8S4MWaUa6EeCwaX7WRJ16gccZ8bJaYENSijrojSQZJoJjKJnj/10518070
1546238,2021-07-07 03:05:18,transaction,,,,"-0,01725",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/op8S4MWaUa6EeCwaX7WRJ16gccZ8bJaYENSijrojSQZJoJjKJnj/10518070/7
1546238,2021-07-07 03:05:18,origination,,,,"-0,271",KT1Jh9Vj2WqXRd2DhA4froggor59u9h3F1oG,https://tzkt.io/op8S4MWaUa6EeCwaX7WRJ16gccZ8bJaYENSijrojSQZJoJjKJnj/10518070/6
1546238,2021-07-07 03:05:18,transaction,,,0,"-0,016737",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/op8S4MWaUa6EeCwaX7WRJ16gccZ8bJaYENSijrojSQZJoJjKJnj/10518071
1546873,2021-07-07 13:46:58,transaction,,,0,"-0,021889",KT1LvV2VCagTWiU5YJ1kngRdGk7oBnCJcKxQ,https://tzkt.io/ooeXyLA8iSvUnT5moomPoMU1KYj96QBASgVs26g8TWhmc9wKzVd/10518072
1546873,2021-07-07 13:46:58,transaction,,,,"-0,0295",KT1CnygLoKfJA66499U9ZQkL6ykUfzgruGfM,https://tzkt.io/ooeXyLA8iSvUnT5moomPoMU1KYj96QBASgVs26g8TWhmc9wKzVd/10518072/4
1547038,2021-07-07 16:37:58,transaction,,,0,"-0,057105",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/ooYj4eGGzCA7XdedM9GvRjizFivuS8gBUrVeYNxUCpAAzP6FwyC/10518073
1547054,2021-07-07 16:53:58,transaction,,,0,"-0,00464",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/oogxWvKuvpDgoBMSJyYcTUAvoeSqSuWsH63Xmxg3rq9LvLaWj2c/10518074
1547071,2021-07-07 17:10:58,transaction,,,0,"-0,004634",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/opQckJaRGjVPBEzwL74ko772T6u6xBB1p8XD1L4iwLJgqv7L8VX/10518075
1547111,2021-07-07 17:50:58,transaction,,,"-9,999999","-0,0185",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/ooNMh8ad1DXTZt3HohsirWL6s89oedb29HJyeNbNZ439ca11Af8/10518077
1547111,2021-07-07 17:50:58,transaction,,,0,"-0,013341",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/ooNMh8ad1DXTZt3HohsirWL6s89oedb29HJyeNbNZ439ca11Af8/10518078
1547117,2021-07-07 17:56:58,transaction,"6,4792",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,,,,https://tzkt.io/opQzHsFugGG5dVzV8mVTsUBNqR3rM8gkus46tLAHc9m33gB8mjj/10518080/0
1547117,2021-07-07 17:56:58,transaction,,,0,"-0,012012",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/opQzHsFugGG5dVzV8mVTsUBNqR3rM8gkus46tLAHc9m33gB8mjj/10518081
1547127,2021-07-07 18:06:58,delegation,,,,"-0,000397",tz1PWCDnz783NNGGQjEFFsHtrcK5yBW4E2rm,https://tzkt.io/oo671kghKMpeia71xrmcCSUwb6Ch5LhfnqhC4otZAh6WxLxqUzM/10518082
1547128,2021-07-07 18:07:58,transaction,,,0,"-0,027976",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/oopMxirCqejaTXA5vnEnezQogoq1GMZpef7PmcVREKjjt2qkhQb/10518083
1547144,2021-07-07 18:23:58,transaction,,,-5,"-0,007068",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/oo5BEVjs6hcVeUNbthbdWUpBmNtzVa55gcFvfdFhw2pNA4ewttq/10518084
1547159,2021-07-07 18:38:58,transaction,,,0,"-0,004695",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/opPT4dcE6X83Mzw7awaFDGGJQCmXfpDFfxRfsCkw47DDqYnYQae/10518085
1547809,2021-07-08 05:38:58,transaction,,,0,"-0,021998",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/oo5ywFemxaQ3xYD6tihw895U6EQukm8assFGZabC569C2YURzmk/10518086
1548704,2021-07-08 20:46:30,transaction,,,"-0,999998",0,KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/oopgeeRExtkbob9sPziCei5toShgtUHebUiDRbiepCxChbLrNzi/10518088
1548704,2021-07-08 20:46:30,transaction,,,0,"-0,013371",KT1FR9ij18K3dDExgFMBs7ppxfdGYzHiPo7c,https://tzkt.io/oopgeeRExtkbob9sPziCei5toShgtUHebUiDRbiepCxChbLrNzi/10518089
1548706,2021-07-08 20:49:10,transaction,,,,"-0,007067",KT1UB7qgywfrntdTnvFCUgw7QxjRhiKWMnCa,https://tzkt.io/ootJp8DatnxFSDXoLJ92SadbAxiadauzH4MHdVQ7TFzSY6oDxrm/10518090
